                    ************************************************************************************************
                    *  Z= 30 A= 68: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 68 and ldmodel= 1  *
 180.00  4.254  1.31E+30 5.81E+28 1.22E+30 4.06E+26 1.20E+27 1.95E+27 2.61E+27 3.18E+27 3.62E+27 3.93E+27 4.11E+27 4.17E+27 4.11E+27 3.95E+27 3.71E+27 3.41E+27 3.07E+27 2.71E+27 2.35E+27 2.00E+27 1.67E+27 1.37E+27 1.11E+27 8.81E+26 6.89E+26 5.30E+26 4.01E+26 2.99E+26 2.19E+26 1.58E+26 1.13E+26 7.88E+25 5.44E+25
 190.00  4.370  1.07E+31 4.71E+29 1.00E+31 3.20E+27 9.47E+27 1.54E+28 2.06E+28 2.51E+28 2.87E+28 3.12E+28 3.28E+28 3.33E+28 3.29E+28 3.18E+28 2.99E+28 2.76E+28 2.50E+28 2.22E+28 1.93E+28 1.66E+28 1.39E+28 1.15E+28 9.38E+27 7.51E+27 5.92E+27 4.59E+27 3.50E+27 2.63E+27 1.95E+27 1.42E+27 1.02E+27 7.23E+26 5.05E+26
 200.00  4.484  8.30E+31 3.62E+30 7.81E+31 2.40E+28 7.09E+28 1.15E+29 1.55E+29 1.89E+29 2.16E+29 2.36E+29 2.48E+29 2.53E+29 2.50E+29 2.42E+29 2.29E+29 2.13E+29 1.93E+29 1.72E+29 1.51E+29 1.30E+29 1.10E+29 9.16E+28 7.50E+28 6.05E+28 4.80E+28 3.75E+28 2.89E+28 2.19E+28 1.63E+28 1.20E+28 8.73E+27 6.24E+27 4.39E+27

                    ************************************************************************************************
                    *  Z= 30 A= 68: Negative-Parity Spin-dependent Level Density [MeV-1] for Zn 68 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.159  3.16E-01 6.32E-01 3.53E+00 6.21E-02 1.52E-01 1.70E-01 1.30E-01 7.44E-02 3.32E-02 1.17E-02 3.29E-03 7.44E-04 1.35E-04 1.99E-05 2.38E-06 2.30E-07 1.80E-08 1.15E-09 5.99E-11 2.53E-12 8.72E-14 2.45E-15 5.59E-17 1.04E-18 1.59E-20 1.97E-22 1.99E-24 1.64E-26 1.11E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.224  7.17E-01 8.03E-01 4.48E+00 7.89E-02 1.94E-01 2.16E-01 1.65E-01 9.46E-02 4.22E-02 1.49E-02 4.19E-03 9.45E-04 1.72E-04 2.53E-05 3.02E-06 2.92E-07 2.29E-08 1.47E-09 7.61E-11 3.22E-12 1.11E-13 3.11E-15 7.11E-17 1.33E-18 2.02E-20 2.50E-22 2.53E-24 2.09E-26 1.41E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.275  1.23E+00 1.02E+00 5.70E+00 1.00E-01 2.46E-01 2.74E-01 2.10E-01 1.20E-01 5.37E-02 1.89E-02 5.32E-03 1.20E-03 2.19E-04 3.22E-05 3.84E-06 3.71E-07 2.92E-08 1.86E-09 9.68E-11 4.09E-12 1.41E-13 3.95E-15 9.04E-17 1.69E-18 2.56E-20 3.18E-22 3.22E-24 2.65E-26 1.79E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.317  1.88E+00 1.30E+00 7.25E+00 1.28E-01 3.13E-01 3.48E-01 2.66E-01 1.53E-01 6.82E-02 2.40E-02 6.77E-03 1.53E-03 2.78E-04 4.10E-05 4.88E-06 4.72E-07 3.71E-08 2.37E-09 1.23E-10 5.20E-12 1.79E-13 5.03E-15 1.15E-16 2.14E-18 3.26E-20 4.04E-22 4.09E-24 3.37E-26 2.27E-28 1.25E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.354  2.70E+00 1.65E+00 9.21E+00 1.62E-01 3.98E-01 4.43E-01 3.39E-01 1.94E-01 8.67E-02 3.06E-02 8.60E-03 1.94E-03 3.54E-04 5.21E-05 6.21E-06 6.00E-07 4.72E-08 3.01E-09 1.56E-10 6.62E-12 2.28E-13 6.39E-15 1.46E-16 2.73E-18 4.14E-20 5.14E-22 5.20E-24 4.29E-26 2.89E-28 1.59E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.388  3.75E+00 2.10E+00 1.17E+01 2.06E-01 5.06E-01 5.63E-01 4.31E-01 2.47E-01 1.10E-01 3.89E-02 1.09E-02 2.47E-03 4.50E-04 6.62E-05 7.89E-06 7.63E-07 6.00E-08 3.83E-09 1.99E-10 8.41E-12 2.90E-13 8.13E-15 1.86E-16 3.47E-18 5.27E-20 6.53E-22 6.61E-24 5.46E-26 3.68E-28 2.02E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.419  5.09E+00 2.67E+00 1.49E+01 2.62E-01 6.43E-01 7.16E-01 5.48E-01 3.14E-01 1.40E-01 4.94E-02 1.39E-02 3.14E-03 5.72E-04 8.42E-05 1.00E-05 9.71E-07 7.63E-08 4.87E-09 2.53E-10 1.07E-11 3.68E-13 1.03E-14 2.36E-16 4.41E-18 6.70E-20 8.31E-22 8.40E-24 6.94E-26 4.67E-28 2.57E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.448  6.78E+00 3.39E+00 1.89E+01 3.34E-01 8.18E-01 9.11E-01 6.96E-01 4.00E-01 1.78E-01 6.28E-02 1.77E-02 3.99E-03 7.27E-04 1.07E-04 1.28E-05 1.23E-06 9.70E-08 6.19E-09 3.22E-10 1.36E-11 4.68E-13 1.31E-14 3.01E-16 5.60E-18 8.52E-20 1.06E-21 1.07E-23 8.82E-26 5.94E-28 3.27E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.476  8.94E+00 4.31E+00 2.41E+01 4.24E-01 1.04E+00 1.16E+00 8.85E-01 5.08E-01 2.27E-01 7.99E-02 2.25E-02 5.08E-03 9.25E-04 1.36E-04 1.62E-05 1.57E-06 1.23E-07 7.87E-09 4.09E-10 1.73E-11 5.96E-13 1.67E-14 3.82E-16 7.12E-18 1.08E-19 1.34E-21 1.36E-23 1.12E-25 7.55E-28 4.15E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.501  1.17E+01 5.48E+00 3.06E+01 5.39E-01 1.32E+00 1.47E+00 1.13E+00 6.46E-01 2.88E-01 1.02E-01 2.86E-02 6.46E-03 1.18E-03 1.73E-04 2.06E-05 2.00E-06 1.57E-07 1.00E-08 5.20E-10 2.20E-11 7.57E-13 2.12E-14 4.86E-16 9.06E-18 1.38E-19 1.71E-21 1.73E-23 1.43E-25 9.60E-28 5.28E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.526  1.52E+01 6.97E+00 3.89E+01 6.86E-01 1.68E+00 1.87E+00 1.43E+00 8.22E-01 3.66E-01 1.29E-01 3.63E-02 8.21E-03 1.49E-03 2.20E-04 2.62E-05 2.54E-06 1.99E-07 1.27E-08 6.61E-10 2.80E-11 9.63E-13 2.70E-14 6.18E-16 1.15E-17 1.75E-19 2.17E-21 2.20E-23 1.81E-25 1.22E-27 6.71E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.549  1.96E+01 8.87E+00 4.98E+01 8.60E-01 2.12E+00 2.37E+00 1.83E+00 1.06E+00 4.79E-01 1.71E-01 4.91E-02 1.13E-02 2.12E-03 3.20E-04 3.93E-05 3.92E-06 3.19E-07 2.11E-08 1.14E-09 5.04E-11 1.82E-12 5.35E-14 1.29E-15 2.53E-17 4.07E-19 5.35E-21 5.75E-23 5.06E-25 3.64E-27 2.15E-29 1.00E-30 1.00E-30 1.00E-30
   3.25  0.572  2.52E+01 1.13E+01 6.57E+01 1.02E+00 2.54E+00 2.93E+00 2.35E+00 1.44E+00 6.97E-01 2.71E-01 8.56E-02 2.20E-02 4.65E-03 8.07E-04 1.15E-04 1.36E-05 1.32E-06 1.06E-07 7.04E-09 3.87E-10 1.76E-11 6.64E-13 2.07E-14 5.37E-16 1.15E-17 2.05E-19 3.02E-21 3.70E-23 3.75E-25 3.16E-27 2.21E-29 1.00E-30 1.00E-30
   3.50  0.593  3.24E+01 1.43E+01 8.63E+01 1.22E+00 3.07E+00 3.61E+00 3.01E+00 1.93E+00 9.94E-01 4.15E-01 1.43E-01 4.04E-02 9.49E-03 1.86E-03 3.02E-04 4.11E-05 4.67E-06 4.43E-07 3.52E-08 2.34E-09 1.31E-10 6.11E-12 2.40E-13 7.88E-15 2.17E-16 5.03E-18 9.77E-20 1.59E-21 2.18E-23 2.50E-25 2.42E-27 1.96E-29 1.00E-30
   3.75  0.614  4.15E+01 1.82E+01 1.13E+02 1.45E+00 3.70E+00 4.46E+00 3.83E+00 2.57E+00 1.39E+00 6.19E-01 2.29E-01 7.05E-02 1.82E-02 3.96E-03 7.23E-04 1.12E-04 1.45E-05 1.60E-06 1.49E-07 1.17E-08 7.81E-10 4.41E-11 2.11E-12 8.56E-14 2.94E-15 8.59E-17 2.12E-18 4.46E-20 7.93E-22 1.20E-23 1.54E-25 1.67E-27 1.54E-29
   4.00  0.634  5.31E+01 2.32E+01 1.48E+02 1.74E+00 4.49E+00 5.50E+00 4.86E+00 3.38E+00 1.92E+00 9.04E-01 3.56E-01 1.18E-01 3.32E-02 7.92E-03 1.60E-03 2.77E-04 4.06E-05 5.09E-06 5.45E-07 4.98E-08 3.89E-09 2.60E-10 1.48E-11 7.26E-13 3.03E-14 1.09E-15 3.33E-17 8.73E-19 1.96E-20 3.77E-22 6.21E-24 8.77E-26 1.06E-27
   4.25  0.654  6.78E+01 2.95E+01 1.94E+02 2.10E+00 5.45E+00 6.79E+00 6.15E+00 4.43E+00 2.62E+00 1.30E+00 5.41E-01 1.92E-01 5.81E-02 1.51E-02 3.34E-03 6.36E-04 1.04E-04 1.47E-05 1.78E-06 1.86E-07 1.67E-08 1.29E-09 8.65E-11 4.99E-12 2.48E-13 1.07E-14 3.96E-16 1.27E-17 3.50E-19 8.36E-21 1.72E-22 3.07E-24 4.72E-26
   4.50  0.673  8.66E+01 3.75E+01 2.53E+02 2.53E+00 6.63E+00 8.39E+00 7.77E+00 5.76E+00 3.54E+00 1.83E+00 8.05E-01 3.03E-01 9.81E-02 2.74E-02 6.59E-03 1.37E-03 2.48E-04 3.87E-05 5.24E-06 6.17E-07 6.30E-08 5.58E-09 4.30E-10 2.88E-11 1.68E-12 8.48E-14 3.73E-15 1.43E-16 4.76E-18 1.38E-19 3.48E-21 7.63E-23 1.46E-24
   4.75  0.691  1.10E+02 4.76E+01 3.30E+02 3.07E+00 8.08E+00 1.04E+01 9.79E+00 7.45E+00 4.73E+00 2.55E+00 1.18E+00 4.67E-01 1.61E-01 4.80E-02 1.24E-02 2.81E-03 5.53E-04 9.49E-05 1.42E-05 1.86E-06 2.13E-07 2.13E-08 1.87E-09 1.43E-10 9.58E-12 5.62E-13 2.89E-14 1.30E-15 5.12E-17 1.77E-18 5.34E-20 1.41E-21 3.28E-23
   5.00  0.709  1.41E+02 6.06E+01 4.30E+02 3.72E+00 9.86E+00 1.28E+01 1.23E+01 9.61E+00 6.29E+00 3.52E+00 1.69E+00 7.06E-01 2.57E-01 8.14E-02 2.26E-02 5.48E-03 1.17E-03 2.18E-04 3.59E-05 5.18E-06 6.57E-07 7.34E-08 7.21E-09 6.24E-10 4.75E-11 3.19E-12 1.88E-13 9.81E-15 4.50E-16 1.82E-17 6.49E-19 2.04E-20 5.64E-22
   5.50  0.744  2.39E+02 9.79E+01 7.26E+02 5.51E+00 1.48E+01 1.96E+01 1.94E+01 1.58E+01 1.09E+01 6.51E+00 3.38E+00 1.53E+00 6.13E-01 2.16E-01 6.74E-02 1.86E-02 4.55E-03 9.87E-04 1.90E-04 3.26E-05 4.95E-06 6.70E-07 8.05E-08 8.62E-09 8.21E-10 6.96E-11 5.25E-12 3.53E-13 2.11E-14 1.13E-15 5.35E-17 2.26E-18 8.53E-20
   6.00  0.777  3.97E+02 1.58E+02 1.22E+03 8.22E+00 2.22E+01 3.00E+01 3.06E+01 2.58E+01 1.86E+01 1.17E+01 6.47E+00 3.16E+00 1.37E+00 5.28E-01 1.82E-01 5.58E-02 1.53E-02 3.77E-03 8.32E-04 1.64E-04 2.91E-05 4.63E-06 6.60E-07 8.45E-08 9.71E-09 1.00E-09 9.30E-11 7.75E-12 5.81E-13 3.91E-14 2.36E-15 1.28E-16 6.28E-18
   6.50  0.808  6.53E+02 2.56E+02 2.05E+03 1.23E+01 3.36E+01 4.60E+01 4.81E+01 4.18E+01 3.14E+01 2.06E+01 1.20E+01 6.24E+00 2.90E+00 1.21E+00 4.52E-01 1.52E-01 4.62E-02 1.27E-02 3.13E-03 6.99E-04 1.41E-04 2.57E-05 4.24E-06 6.33E-07 8.55E-08 1.05E-08 1.16E-09 1.16E-10 1.05E-11 8.62E-13 6.42E-14 4.32E-15 2.64E-16
   7.00  0.839  1.07E+03 4.14E+02 3.44E+03 1.86E+01 5.10E+01 7.08E+01 7.54E+01 6.74E+01 5.23E+01 3.58E+01 2.18E+01 1.20E+01 5.89E+00 2.62E+00 1.06E+00 3.85E-01 1.27E-01 3.83E-02 1.04E-02 2.59E-03 5.86E-04 1.20E-04 2.25E-05 3.84E-06 5.95E-07 8.42E-08 1.08E-08 1.27E-09 1.36E-10 1.33E-11 1.18E-12 9.59E-14 7.09E-15
   7.50  0.868  1.74E+03 6.69E+02 5.74E+03 2.82E+01 7.77E+01 1.09E+02 1.18E+02 1.08E+02 8.64E+01 6.12E+01 3.89E+01 2.23E+01 1.16E+01 5.46E+00 2.34E+00 9.15E-01 3.26E-01 1.06E-01 3.17E-02 8.62E-03 2.15E-03 4.90E-04 1.02E-04 1.96E-05 3.43E-06 5.50E-07 8.10E-08 1.09E-08 1.35E-09 1.53E-10 1.59E-11 1.52E-12 1.33E-13
   8.00  0.897  2.82E+03 1.08E+03 9.57E+03 4.29E+01 1.19E+02 1.69E+02 1.86E+02 1.73E+02 1.42E+02 1.04E+02 6.82E+01 4.07E+01 2.21E+01 1.10E+01 4.98E+00 2.07E+00 7.89E-01 2.76E-01 8.87E-02 2.62E-02 7.12E-03 1.78E-03 4.09E-04 8.66E-05 1.69E-05 3.03E-06 5.02E-07 7.65E-08 1.07E-08 1.39E-09 1.66E-10 1.82E-11 1.85E-12
   8.50  0.924  4.56E+03 1.75E+03 1.59E+04 6.54E+01 1.82E+02 2.61E+02 2.91E+02 2.77E+02 2.32E+02 1.74E+02 1.18E+02 7.32E+01 4.14E+01 2.15E+01 1.02E+01 4.49E+00 1.82E+00 6.77E-01 2.33E-01 7.39E-02 2.17E-02 5.88E-03 1.47E-03 3.41E-04 7.32E-05 1.45E-05 2.66E-06 4.52E-07 7.11E-08 1.04E-08 1.39E-09 1.74E-10 2.01E-11
   9.00  0.951  7.39E+03 2.83E+03 2.65E+04 1.00E+02 2.80E+02 4.04E+02 4.57E+02 4.41E+02 3.77E+02 2.90E+02 2.03E+02 1.30E+02 7.60E+01 4.11E+01 2.05E+01 9.43E+00 4.01E+00 1.58E+00 5.78E-01 1.96E-01 6.15E-02 1.79E-02 4.85E-03 1.22E-03 2.85E-04 6.17E-05 1.24E-05 2.32E-06 4.04E-07 6.53E-08 9.81E-09 1.37E-09 1.78E-10
   9.50  0.977  1.20E+04 4.57E+03 4.39E+04 1.54E+02 4.32E+02 6.28E+02 7.17E+02 7.02E+02 6.11E+02 4.80E+02 3.44E+02 2.26E+02 1.37E+02 7.67E+01 3.97E+01 1.91E+01 8.51E+00 3.52E+00 1.36E+00 4.86E-01 1.62E-01 5.04E-02 1.46E-02 3.93E-03 9.87E-04 2.31E-04 5.05E-05 1.03E-05 1.95E-06 3.46E-07 5.71E-08 8.81E-09 1.27E-09
  10.00  1.003  1.93E+04 7.31E+03 7.15E+04 2.38E+02 6.70E+02 9.78E+02 1.12E+03 1.11E+03 9.78E+02 7.80E+02 5.68E+02 3.81E+02 2.35E+02 1.35E+02 7.17E+01 3.54E+01 1.63E+01 6.97E+00 2.78E+00 1.03E+00 3.59E-01 1.16E-01 3.52E-02 9.95E-03 2.62E-03 6.47E-04 1.49E-04 3.21E-05 6.47E-06 1.22E-06 2.14E-07 3.53E-08 5.44E-09
  11.00  1.052  5.52E+04 1.80E+04 1.82E+05 5.50E+02 1.55E+03 2.29E+03 2.66E+03 2.67E+03 2.40E+03 1.96E+03 1.47E+03 1.02E+03 6.52E+02 3.89E+02 2.16E+02 1.12E+02 5.42E+01 2.46E+01 1.04E+01 4.13E+00 1.53E+00 5.34E-01 1.74E-01 5.34E-02 1.53E-02 4.13E-03 1.04E-03 2.48E-04 5.52E-05 1.15E-05 2.26E-06 4.17E-07 7.21E-08
  12.00  1.098  1.39E+05 4.21E+04 4.37E+05 1.22E+03 3.45E+03 5.12E+03 6.02E+03 6.13E+03 5.59E+03 4.66E+03 3.57E+03 2.54E+03 1.68E+03 1.03E+03 5.96E+02 3.22E+02 1.63E+02 7.72E+01 3.44E+01 1.44E+01 5.66E+00 2.09E+00 7.29E-01 2.38E-01 7.34E-02 2.13E-02 5.81E-03 1.49E-03 3.61E-04 8.24E-05 1.77E-05 3.58E-06 6.82E-07
  13.00  1.143  3.29E+05 9.46E+04 1.01E+06 2.61E+03 7.40E+03 1.10E+04 1.31E+04 1.35E+04 1.25E+04 1.06E+04 8.26E+03 6.01E+03 4.07E+03 2.58E+03 1.54E+03 8.58E+02 4.50E+02 2.22E+02 1.03E+02 4.52E+01 1.87E+01 7.26E+00 2.66E+00 9.23E-01 3.02E-01 9.30E-02 2.71E-02 7.45E-03 1.94E-03 4.75E-04 1.10E-04 2.41E-05 4.98E-06
  14.00  1.186  7.38E+05 2.05E+05 2.23E+06 5.40E+03 1.54E+04 2.30E+04 2.75E+04 2.86E+04 2.68E+04 2.30E+04 1.83E+04 1.36E+04 9.42E+03 6.12E+03 3.74E+03 2.15E+03 1.16E+03 5.94E+02 2.87E+02 1.30E+02 5.61E+01 2.28E+01 8.77E+00 3.19E+00 1.10E+00 3.57E-01 1.10E-01 3.21E-02 8.85E-03 2.31E-03 5.72E-04 1.34E-04 2.98E-05
  15.00  1.228  1.60E+06 4.30E+05 4.77E+06 1.09E+04 3.10E+04 4.67E+04 5.61E+04 5.89E+04 5.58E+04 4.85E+04 3.92E+04 2.96E+04 2.09E+04 1.39E+04 8.67E+03 5.11E+03 2.85E+03 1.50E+03 7.45E+02 3.51E+02 1.57E+02 6.61E+01 2.65E+01 1.00E+01 3.61E+00 1.23E+00 3.99E-01 1.22E-01 3.56E-02 9.83E-03 2.58E-03 6.41E-04 1.51E-04
  16.00  1.268  3.35E+06 8.77E+05 9.93E+06 2.14E+04 6.11E+04 9.24E+04 1.12E+05 1.18E+05 1.13E+05 9.93E+04 8.12E+04 6.22E+04 4.47E+04 3.02E+04 1.93E+04 1.16E+04 6.64E+03 3.59E+03 1.84E+03 8.91E+02 4.10E+02 1.79E+02 7.44E+01 2.93E+01 1.10E+01 3.90E+00 1.32E+00 4.23E-01 1.29E-01 3.74E-02 1.03E-02 2.70E-03 6.74E-04
  17.00  1.307  6.85E+06 1.75E+06 2.01E+07 4.11E+04 1.18E+05 1.78E+05 2.17E+05 2.31E+05 2.22E+05 1.98E+05 1.64E+05 1.27E+05 9.26E+04 6.37E+04 4.14E+04 2.55E+04 1.49E+04 8.22E+03 4.32E+03 2.15E+03 1.02E+03 4.59E+02 1.97E+02 8.01E+01 3.11E+01 1.15E+01 4.02E+00 1.34E+00 4.28E-01 1.30E-01 3.74E-02 1.03E-02 2.69E-03
  18.00  1.345  1.36E+07 3.40E+06 3.98E+07 7.75E+04 2.22E+05 3.38E+05 4.12E+05 4.41E+05 4.28E+05 3.84E+05 3.22E+05 2.53E+05 1.87E+05 1.30E+05 8.62E+04 5.40E+04 3.21E+04 1.82E+04 9.75E+03 4.98E+03 2.42E+03 1.12E+03 4.94E+02 2.07E+02 8.30E+01 3.16E+01 1.15E+01 3.98E+00 1.32E+00 4.15E-01 1.25E-01 3.58E-02 9.78E-03
  19.00  1.382  2.66E+07 6.48E+06 7.70E+07 1.43E+05 4.12E+05 6.28E+05 7.69E+05 8.27E+05 8.09E+05 7.32E+05 6.19E+05 4.91E+05 3.68E+05 2.60E+05 1.75E+05 1.11E+05 6.74E+04 3.88E+04 2.13E+04 1.11E+04 5.52E+03 2.62E+03 1.19E+03 5.12E+02 2.11E+02 8.28E+01 3.10E+01 1.11E+01 3.80E+00 1.24E+00 3.87E-01 1.15E-01 3.28E-02
  20.00  1.418  5.09E+07 1.21E+07 1.46E+08 2.61E+05 7.50E+05 1.15E+06 1.41E+06 1.52E+06 1.50E+06 1.37E+06 1.17E+06 9.34E+05 7.07E+05 5.07E+05 3.45E+05 2.23E+05 1.37E+05 8.05E+04 4.50E+04 2.39E+04 1.22E+04 5.90E+03 2.73E+03 1.21E+03 5.11E+02 2.07E+02 7.97E+01 2.94E+01 1.04E+01 3.50E+00 1.13E+00 3.49E-01 1.03E-01
  22.50  1.504  3.22E+08 5.42E+07 6.74E+08 1.09E+06 3.15E+06 4.84E+06 6.00E+06 6.56E+06 6.55E+06 6.06E+06 5.27E+06 4.31E+06 3.35E+06 2.47E+06 1.73E+06 1.15E+06 7.36E+05 4.48E+05 2.60E+05 1.45E+05 7.71E+04 3.92E+04 1.91E+04 8.94E+03 4.00E+03 1.71E+03 7.04E+02 2.77E+02 1.05E+02 3.78E+01 1.31E+01 4.37E+00 1.39E+00
  25.00  1.585  1.43E+09 2.22E+08 2.84E+09 4.24E+06 1.22E+07 1.89E+07 2.36E+07 2.60E+07 2.62E+07 2.46E+07 2.17E+07 1.81E+07 1.43E+07 1.08E+07 7.76E+06 5.32E+06 3.49E+06 2.19E+06 1.32E+06 7.60E+05 4.20E+05 2.23E+05 1.13E+05 5.53E+04 2.60E+04 1.17E+04 5.05E+03 2.10E+03 8.38E+02 3.21E+02 1.18E+02 4.19E+01 1.43E+01
  30.00  1.737  3.18E+10 3.04E+09 4.08E+10 5.27E+07 1.53E+08 2.37E+08 2.99E+08 3.35E+08 3.44E+08 3.30E+08 2.98E+08 2.56E+08 2.09E+08 1.63E+08 1.22E+08 8.72E+07 5.99E+07 3.95E+07 2.50E+07 1.53E+07 8.96E+06 5.06E+06 2.75E+06 1.44E+06 7.29E+05 3.55E+05 1.66E+05 7.52E+04 3.28E+04 1.38E+04 5.58E+03 2.18E+03 8.24E+02
  40.00  2.005  6.36E+12 3.17E+11 4.58E+12 4.73E+09 1.38E+10 2.16E+10 2.77E+10 3.15E+10 3.32E+10 3.28E+10 3.06E+10 2.73E+10 2.33E+10 1.91E+10 1.50E+10 1.14E+10 8.34E+09 5.89E+09 4.01E+09 2.64E+09 1.68E+09 1.04E+09 6.19E+08 3.57E+08 2.00E+08 1.08E+08 5.66E+07 2.87E+07 1.41E+07 6.74E+06 3.11E+06 1.39E+06 6.04E+05
  50.00  2.242  3.92E+14 1.93E+13 2.96E+14 2.57E+11 7.51E+11 1.19E+12 1.53E+12 1.77E+12 1.89E+12 1.91E+12 1.82E+12 1.67E+12 1.47E+12 1.24E+12 1.01E+12 7.98E+11 6.09E+11 4.50E+11 3.22E+11 2.23E+11 1.50E+11 9.82E+10 6.23E+10 3.83E+10 2.29E+10 1.33E+10 7.52E+09 4.13E+09 2.20E+09 1.14E+09 5.76E+08 2.82E+08 1.34E+08
  60.00  2.456  1.65E+16 8.07E+14 1.29E+16 9.80E+12 2.87E+13 4.55E+13 5.93E+13 6.91E+13 7.48E+13 7.64E+13 7.43E+13 6.93E+13 6.22E+13 5.39E+13 4.51E+13 3.66E+13 2.88E+13 2.20E+13 1.63E+13 1.18E+13 8.24E+12 5.62E+12 3.73E+12 2.41E+12 1.51E+12 9.26E+11 5.52E+11 3.21E+11 1.81E+11 1.00E+11 5.38E+10 2.82E+10 1.44E+10
  70.00  2.653  5.24E+17 2.54E+16 4.24E+17 2.85E+14 8.36E+14 1.33E+15 1.74E+15 2.05E+15 2.24E+15 2.31E+15 2.28E+15 2.15E+15 1.96E+15 1.73E+15 1.48E+15 1.23E+15 9.90E+14 7.76E+14 5.91E+14 4.39E+14 3.17E+14 2.24E+14 1.54E+14 1.03E+14 6.72E+13 4.29E+13 2.67E+13 1.62E+13 9.59E+12 5.54E+12 3.13E+12 1.73E+12 9.30E+11
  80.00  2.836  1.33E+19 6.36E+17 1.10E+19 6.69E+15 1.96E+16 3.14E+16 4.12E+16 4.87E+16 5.36E+16 5.58E+16 5.56E+16 5.32E+16 4.92E+16 4.41E+16 3.83E+16 3.23E+16 2.66E+16 2.12E+16 1.66E+16 1.26E+16 9.33E+15 6.75E+15 4.77E+15 3.29E+15 2.22E+15 1.46E+15 9.39E+14 5.90E+14 3.63E+14 2.18E+14 1.28E+14 7.37E+13 4.14E+13
  90.00  3.008  2.78E+20 1.33E+19 2.36E+20 1.31E+17 3.86E+17 6.18E+17 8.15E+17 9.68E+17 1.07E+18 1.12E+18 1.13E+18 1.09E+18 1.02E+18 9.25E+17 8.14E+17 6.98E+17 5.82E+17 4.74E+17 3.76E+17 2.91E+17 2.20E+17 1.63E+17 1.18E+17 8.33E+16 5.76E+16 3.90E+16 2.58E+16 1.67E+16 1.06E+16 6.56E+15 3.99E+15 2.37E+15 1.38E+15
 100.00  3.170  5.00E+21 2.36E+20 4.31E+21 2.22E+18 6.52E+18 1.05E+19 1.39E+19 1.65E+19 1.84E+19 1.94E+19 1.96E+19 1.91E+19 1.81E+19 1.65E+19 1.47E+19 1.28E+19 1.08E+19 8.91E+18 7.18E+18 5.66E+18 4.36E+18 3.28E+18 2.42E+18 1.75E+18 1.23E+18 8.54E+17 5.78E+17 3.84E+17 2.50E+17 1.59E+17 9.93E+16 6.08E+16 3.64E+16
 110.00  3.325  7.85E+22 3.68E+21 6.87E+22 3.29E+19 9.69E+19 1.56E+20 2.07E+20 2.47E+20 2.76E+20 2.93E+20 2.99E+20 2.93E+20 2.79E+20 2.58E+20 2.32E+20 2.03E+20 1.74E+20 1.45E+20 1.19E+20 9.47E+19 7.40E+19 5.67E+19 4.25E+19 3.12E+19 2.25E+19 1.58E+19 1.10E+19 7.43E+18 4.94E+18 3.22E+18 2.06E+18 1.29E+18 7.94E+17
 120.00  3.473  1.10E+24 5.09E+22 9.73E+23 4.36E+20 1.29E+21 2.07E+21 2.75E+21 3.31E+21 3.71E+21 3.95E+21 4.04E+21 4.00E+21 3.83E+21 3.56E+21 3.23E+21 2.86E+21 2.47E+21 2.09E+21 1.72E+21 1.39E+21 1.10E+21 8.57E+20 6.52E+20 4.86E+20 3.56E+20 2.55E+20 1.80E+20 1.24E+20 8.41E+19 5.59E+19 3.65E+19 2.34E+19 1.47E+19
 130.00  3.615  1.38E+25 6.36E+23 1.24E+25 5.23E+21 1.54E+22 2.49E+22 3.32E+22 3.99E+22 4.50E+22 4.81E+22 4.95E+22 4.92E+22 4.74E+22 4.44E+22 4.06E+22 3.62E+22 3.15E+22 2.69E+22 2.24E+22 1.84E+22 1.47E+22 1.16E+22 8.91E+21 6.73E+21 5.00E+21 3.64E+21 2.60E+21 1.83E+21 1.26E+21 8.52E+20 5.66E+20 3.70E+20 2.37E+20
 140.00  3.751  1.59E+26 7.26E+24 1.44E+26 5.75E+22 1.70E+23 2.74E+23 3.66E+23 4.42E+23 4.99E+23 5.36E+23 5.53E+23 5.52E+23 5.35E+23 5.04E+23 4.64E+23 4.17E+23 3.66E+23 3.15E+23 2.65E+23 2.19E+23 1.77E+23 1.41E+23 1.10E+23 8.40E+22 6.31E+22 4.66E+22 3.38E+22 2.40E+22 1.68E+22 1.16E+22 7.82E+21 5.19E+21 3.39E+21
